INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
71625596,03/05/2010,22:12:00,BRONX,OUTSIDE,44,0.0,STREET,,1006776,243433,40.834815,-73.918594
73830303,07/25/2010,02:08:00,BROOKLYN,OUTSIDE,72,0.0,STREET,,978913,174274,40.645017,-74.01923
10240254,01/28/2006,12:00:00,BRONX,OUTSIDE,48,0.0,STREET,,1016391,249523,40.85149942,-73.88382097
254619180,11/24/2022,20:44:00,BRONX,OUTSIDE,47,0.0,STREET,,1025419,264080,40.891419,-73.851095
185805056,07/30/2018,20:53:00,QUEENS,INSIDE,114,0.0,DWELLING,MULTI DWELL - APT BUILD,1004500,218789,40.767189,-73.926894
32949484,07/07/2007,04:15:00,BROOKLYN,OUTSIDE,79,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,999516,192804,40.695876,-73.944947
140712010,01/26/2015,19:02:00,MANHATTAN,OUTSIDE,7,0.0,STREET,,988980,201020,40.718439,-73.982938
214102398,06/11/2020,20:27:00,QUEENS,OUTSIDE,113,0.0,STREET,,1041332,188264,40.683234,-73.794185
81795913,11/20/2011,19:24:00,QUEENS,OUTSIDE,113,0.0,STREET,,1045049,188549,40.683993,-73.780783
24814496,10/14/2006,22:30:00,BROOKLYN,OUTSIDE,75,0.0,STREET,,1020679,183428,40.67006924,-73.86867946
71859340,03/20/2010,22:30:00,MANHATTAN,OUTSIDE,28,0.0,STREET,,996469,232106,40.80374478,-73.95586407
92549988,09/11/2013,00:44:00,BROOKLYN,OUTSIDE,73,0.0,STREET,,1009333,178895,40.65766658,-73.90959675
140847884,02/05/2015,11:30:00,BROOKLYN,INSIDE,90,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1000575,198114,40.710442,-73.941114
60315461,04/04/2009,03:05:00,QUEENS,OUTSIDE,101,0.0,STREET,MULTI DWELL - APT BUILD,1054394,162185,40.611569,-73.747364
23354128,07/09/2006,20:20:00,BROOKLYN,OUTSIDE,72,0.0,STREET,,981289,176044,40.649885,-74.010671
298569109,12/27/2024,20:40:00,BROOKLYN,OUTSIDE,61,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1001807,156562,40.596395,-73.93678
73940073,08/01/2010,18:57:00,BROOKLYN,OUTSIDE,84,0.0,STREET,MULTI DWELL - APT BUILD,986310,193337,40.697344,-73.992571
